,cik,latitude,longitude,official_address
89,1849011,42.3532355,-71.056416,"175 Federal St, Boston, MA 02110, USA"
90,1636050,40.7551234,-73.98546329999999,"130 W 42nd St, New York, NY 10036, USA"
91,851520,37.4812888,-122.173721,"149 Commonwealth Dr, Menlo Park, CA 94025, USA"
92,1824171,41.0994608,-73.41978929999999,"50 Washington St, Norwalk, CT 06854, USA"
93,728387,46.3393632,-119.2691842,"350 Hills St, Richland, WA 99352, USA"
94,1591670,39.6292218,-104.898827,"4600 S Syracuse St, Denver, CO 80237, USA"
95,1828914,42.3803274,-71.13891009999999,"Cambridge, MA 02138, USA"
96,1842718,40.7312418,-74.0084688,"95 Morton St, New York, NY 10014, USA"
97,1504461,36.0746294,-95.92540819999999,"6120 S Yale Ave, Tulsa, OK 74136, USA"
98,1626115,40.7567429,-73.9755649,"280 Park Ave, New York, NY 10017, USA"
99,1865191,37.77717639999999,-122.4174749,"1390 Market St, San Francisco, CA 94102, USA"
100,1583708,37.39074610000001,-122.0817109,"444 Castro St, Mountain View, CA 94041, USA"
101,1534254,40.7465696,-73.9810791,"3 Park Avenue, New York, NY 10016, USA"
102,1042074,37.5403123,-122.0640977,"7575 Gateway Blvd, Newark, CA 94560, USA"
103,1537028,29.9917721,-95.5762505,"20475 TX-249, Houston, TX 77070, USA"
104,866829,29.82505799999999,-95.56476339999999,"3505 W Sam Houston Pkwy N, Houston, TX 77043, USA"
105,1524741,29.7845869,-95.78965939999999,"24275 Katy Fwy, Park Row, TX 77494, USA"
106,1639825,40.7538549,-73.99650480000001,"441 9th Ave, New York, NY 10001, USA"
107,1497645,30.313914,-97.9453132,"13215 Bee Cave Pkwy, Bee Cave, TX 78738, USA"
108,1486957,37.4156834,-79.1425943,"800 Main St, Lynchburg, VA 24504, USA"
109,884713,27.9532145,-82.504448,"1150 Assembly Dr, Tampa, FL 33607, USA"
110,703604,41.9830797,-87.845383,"8770 W Bryn Mawr Ave, Chicago, IL 60631, USA"
111,949858,47.79230399999999,-122.196742,"22722 29th Dr SE, Bothell, WA 98021, USA"
112,1512673,37.7755556,-122.4178981,"1455 Market St, San Francisco, CA 94103, USA"
113,1856608,39.9696739,-105.1672983,"168 Centennial Pkwy, Louisville, CO 80027, USA"
114,25232,33.8474567,-84.3689089,"3344 Peachtree, 3344 Peachtree Rd, Atlanta, GA 30326, USA"
115,1844635,41.8884096,-87.6354498,"222 W Merchandise Mart Plaza, Chicago, IL 60654, USA"
116,1287865,33.4829108,-86.70264759999999,"1000 Urban Center Dr, Vestavia Hills, AL 35242, USA"
117,1354730,41.8232276,-88.0320103,"3500 Lacey Rd, Downers Grove, IL 60515, USA"
118,812011,39.9253372,-105.115069,"390 Interlocken Crescent, Broomfield, CO 80021, USA"
119,1865187,29.7826053,-95.53654759999999,"9811 Katy Fwy, Houston, TX 77024, USA"
120,1133869,34.0666739,-118.3849705,"8840 Wilshire Blvd, Beverly Hills, CA 90211, USA"
121,1142750,32.9271394,-96.98912469999999,"8840 Cypress Waters Blvd, Coppell, TX 75019, USA"
122,1858180,40.7904935,-73.7041112,"1129 Northern Blvd, Manhasset, NY 11030, USA"
123,895051,39.1039961,-77.194974,"9620 Medical Center Dr, Rockville, MD 20850, USA"
124,1845618,37.7953898,-122.3961067,"Four Embarcadero Center, San Francisco, CA, USA"
125,1606366,33.69807280000001,-117.9210043,"3535 Harbor Blvd, Costa Mesa, CA 92626, USA"
126,708818,33.8517243,-84.3767112,"3525 Piedmont Rd NE, Atlanta, GA 30305, USA"
127,1658566,39.7488698,-104.993925,"1001 17th St, Denver, CO 80202, USA"
128,924168,41.390115,-81.45349759999999,"32000 Aurora Rd, Solon, OH 44139, USA"
129,1612630,33.6372738,-111.892492,"16767 N Perimeter Dr, Scottsdale, AZ 85260, USA"
130,1017491,40.7570209,-73.97466949999999,"300 Park Ave, New York, NY 10022, USA"
131,1164727,39.6247213,-104.9045807,"6900 E Layton Ave, Denver, CO 80237, USA"
132,1870940,25.7909106,-80.140205,"1111 Lincoln Rd, Miami Beach, FL 33139, USA"
133,1511337,38.9846184,-77.09565429999999,"3 Bethesda Metro Center, Bethesda, MD 20814, USA"
134,1314196,40.7557701,-73.98317349999999,"1120 6th Ave, New York, NY 10036, USA"
135,1850271,35.9995547,-115.1118872,"2850 W Horizon Ridge Pkwy, Henderson, NV 89052, USA"
136,1635282,36.1171929,-115.1581138,"3993 Howard Hughes Pkwy, Las Vegas, NV 89169, USA"
137,1337619,40.06458689999999,-75.4605083,"1000 Chesterbrook Blvd, Berwyn, PA 19312, USA"
138,1410428,40.7499055,-73.9943711,"254 W 31st St, New York, NY 10016, USA"
139,1593899,42.3559701,-71.0539553,"225 Franklin St, Boston, MA 02110, USA"
140,1846576,34.0323296,-118.4680563,"2834 Colorado Ave, Santa Monica, CA 90404, USA"
141,1669779,42.1791367,-87.92850109999999,"250 Parkway Dr, Lincolnshire, IL 60069, USA"
142,1171155,47.4701074,-122.2092873,"700 S Renton Village Pl, Renton, WA 98057, USA"
143,1777921,40.7269336,-74.0356625,"525 Washington Blvd, Jersey City, NJ 07310, USA"
144,1422892,40.78363950000001,-73.73243169999999,"98 Cutter Mill Rd, Great Neck Plaza, NY 11021, USA"
145,1852407,40.1635,-75.4757258,"100 Springhouse Dr, Collegeville, PA 19426, USA"
146,1720116,26.3753904,-80.11956579999999,"2650 N Military Trl, Boca Raton, FL 33431, USA"
147,56679,34.0602018,-118.4168171,"1900 Avenue of the Stars, Los Angeles, CA 90067, USA"
148,1704760,33.8008872,-84.3936674,"1720 Peachtree St NE, Atlanta, GA 30309, USA"
149,1274494,33.4377065,-111.9443776,"350 W Washington St, Tempe, AZ 85281, USA"
150,1058623,33.8046892,-84.39382379999999,"3280 Peachtree Rd NW, Atlanta, GA 30305, USA"
151,1873835,34.0355995,-118.4423222,"11400 W Olympic Blvd, Los Angeles, CA 90064, USA"
152,72633,42.9561414,-72.3074326,"Roxbury, NH 03431, USA"
153,921825,41.8822586,-87.6361038,"UBS Tower, 1 N Upper Wacker Dr, Chicago, IL 60606, USA"
154,1386570,34.0583286,-118.4441506,"10900 Wilshire Blvd, Los Angeles, CA 90024, USA"
155,1061630,40.7579332,-73.9722189,"345 Park Avenue, 345 Park Ave, New York, NY 10154, USA"
156,75288,33.7809624,-84.3830344,"999 Peachtree St NE, Atlanta, GA 30309, USA"
157,1449488,30.17167499999999,-95.4689064,"1735 Hughes Landing Blvd, The Woodlands, TX 77381, USA"
158,728535,36.2423533,-94.149425,"Building C Parking Lot, 615 JB Hunt Corporate Dr, Lowell, AR 72745, USA"
159,1823143,32.9477726,-97.13471129999999,"600 N Carroll Ave, Southlake, TX 76092, USA"
160,1745041,41.8450543,-87.9034975,"Westbrook Corporate Center, Westchester, IL 60154, USA"
161,1616741,30.3273412,-81.6607812,"200 W Forsyth St, Jacksonville, FL 32202, USA"
162,1175454,33.846025,-84.37192519999999,"3280 Peachtree Rd, Atlanta, GA 30305, USA"
163,1870258,25.7671912,-80.19370409999999,"78 SW 7th St, Miami, FL 33130, USA"
164,1842329,42.3388685,-71.2527116,"Riverside Center, 275 Grove St, Auburndale, MA 02466, USA"
165,1392972,29.7351474,-95.41895269999999,"3200 Kirby Dr, Houston, TX 77098, USA"
166,1035201,37.3667721,-121.9113979,"1720 N First St, San Jose, CA 95112, USA"
167,42682,40.8079085,-82.50389,"600 S Airport Rd, Mansfield, OH 44903, USA"
168,62234,43.0389547,-87.9094954,"100 East Wisconsin, 100 E Wisconsin Ave, Milwaukee, WI 53202, USA"
169,1868941,38.8826504,-77.1180474,"4601 Fairfax Dr, Arlington, VA 22203, USA"
170,1395937,42.3976046,-71.2754224,"35 Gatehouse Dr, Waltham, MA 02451, USA"
171,1847351,40.7624743,-73.972037,"595 Madison Ave, New York, NY 10022, USA"
172,1848948,40.7127431,-74.0133795,"285 Fulton St, New York, NY 10007, USA"
173,61398,29.7566361,-95.3687247,"1201 Louisiana St, Houston, TX 77002, USA"
174,1852016,41.0675394,-73.44412489999999,"137 Rowayton Ave, Norwalk, CT 06853, USA"
175,1782170,47.6066958,-122.3354202,"1111 3rd Ave Suite 2100, Seattle, WA 98101, USA"
176,1161728,43.0770457,-89.37595639999999,"MG&E, 133 S Blair St, Madison, WI 53703, USA"
177,894158,39.1035181,-77.1990007,"9605 Medical Center Dr, Rockville, MD 20850, USA"
178,1849820,29.5478794,-95.12259329999999,"17146 Feather Craft Ln, Webster, TX 77598, USA"
179,1065059,39.028173,-77.13979789999999,"6901 Rockledge Dr, Bethesda, MD 20817, USA"
180,1528129,36.1505037,-95.9904995,"Bank of America Center, 15 W 6th St, Tulsa, OK 74119, USA"
181,1845550,40.7484405,-73.98566439999999,"20 W 34th St., New York, NY 10001, USA"
182,1281895,40.7482436,-73.9851073,"350 5th Ave, New York, NY 10118, USA"
183,1069996,26.1381019,-80.336045,"14050 NW 14th St, Sunrise, FL 33323, USA"
184,1008586,34.0712911,-84.2896777,"2400 Old Milton Pkwy, Alpharetta, GA 30004, USA"
185,1719406,39.74807,-75.54800399999999,"1201 N Orange St, Wilmington, DE 19899, USA"
186,1708493,37.6627431,-122.3953123,"131 Oyster Point Blvd, South San Francisco, CA 94080, USA"
187,1890671,25.7671912,-80.19370409999999,"78 SW 7th St, Miami, FL 33130, USA"
188,1501585,36.9880862,-76.4371019,"4101 Washington Ave, Newport News, VA 23607, USA"
189,1106838,40.3250523,-74.6481859,"100 Overlook Center, Princeton, NJ 08540, USA"
190,1376227,37.8978421,-122.0653235,"1850 Mt Diablo Blvd, Walnut Creek, CA 94596, USA"
191,1031203,29.7777447,-95.5438873,"One Memorial City Plaza, 800 Gessner Rd, Houston, TX 77024, USA"
192,945764,33.0810221,-96.8227276,"5851 Legacy Cir, Plano, TX 75024, USA"
193,860748,41.884798,-87.62124589999999,"200 E Randolph St, Chicago, IL 60601, USA"
194,1848437,38.90166869999999,-77.0414244,"1775 I St NW, Washington, DC 20006, USA"
195,1676479,36.1539262,-86.78695530000002,"1201 Demonbreun St #700, Nashville, TN 37203, USA"
196,1431695,40.7130082,-74.0131689,"One World Trade Center, 285 Fulton St, New York, NY 10006, USA"
197,1819438,45.3270373,-122.7629393,"Parkway Woods Business Park Building 83, 26440 SW Parkway Ave, Wilsonville, OR 97070, USA"
198,1740279,40.7484405,-73.98566439999999,"20 W 34th St., New York, NY 10001, USA"
199,1818383,34.047667,-118.259016,"700 Flower St, Los Angeles, CA 90017, USA"
200,39899,38.9229458,-77.2327925,"8350 Broad St, Tysons, VA 22102, USA"
201,1828735,25.7650363,-80.2549191,"777 SW 37th Ave, Miami, FL 33135, USA"
202,1842939,40.7572817,-73.982869,"Americas Tower, New York, NY 10036, USA"
203,1286043,39.7664694,-86.1579443,"30 S Meridian St, Indianapolis, IN 46204, USA"
204,1848821,40.7430664,-73.9903997,"19 W 24th St, New York, NY 10010, USA"
